基本信息,现价,原价,时间,里程,年份,排量
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,6.88万,14.85万,2016年,6.7万公里,2015款,1.5T
雪佛兰 赛欧 2010款 三厢 1.2L 手动理想版,2.00万,6.71万,2011年,9.2万公里,2010款,1.2L
英菲尼迪Q50L 2018款 2.0T 豪华运动版 国V,24.80万,42.31万,2019年,2.6万公里,2018款,2.0T
大众 宝来 2011款 1.4T 自动舒适型,3.80万,15.50万,2010年,11.5万公里,2011款,1.4T
别克 英朗 2013款 XT 1.6L 自动时尚版,4.58万,16.27万,2013年,7.5万公里,2013款,1.6L
雷诺 科雷傲 2012款 2.5L 四驱舒适导航版(进口),6.28万,30.05万,2012年,14.9万公里,2012款,2.5L
本田 杰德 2017款 1.8L 自动经典版 5座,10.80万,14.10万,2017年,3.4万公里,2017款,1.8L
别克 英朗 2015款 18T 双离合运动旗舰型,6.80万,17.36万,2017年,4.2万公里,2015款,1.4T
本田 飞度 2020款 1.5L CVT舒适版,8.18万,8.88万,2020年,1.0万公里,2020款,1.5L
三菱 翼神 2016款 1.8L CVT黑白复刻版,7.80万,12.92万,2017年,4.8万公里,2016款,1.8L
大众 帕萨特 2016款 280TSI DSG尊荣版,12.91万,23.00万,2017年,4.5万公里,2016款,1.4T
大众 高尔夫·嘉旅 2016款 230TSI 自动进取型,10.38万,18.12万,2017年,4.1万公里,2016款,1.4T
大众 速腾 2015款 1.6L 自动舒适型,8.20万,16.37万,2015年,3.2万公里,2015款,1.6L
现代 悦动 2010款 1.6L AT GLS,3.98万,13.00万,2011年,13.2万公里,2010款,1.6L
大众 朗逸 2013款 改款 1.4TSI DSG舒适版,5.90万,16.05万,2013年,5.8万公里,2013款,1.4T
奥迪A4L 2013款 35 TFSI 自动标准型,15.58万,33.63万,2014年,8.4万公里,2013款,2.0T
大众 朗逸 2015款 230TSI DSG舒适版,8.23万,15.95万,2015年,6.5万公里,2015款,1.4T
本田 艾力绅 2012款 2.4L VTi-S尊贵版,16.50万,34.71万,2014年,7.5万公里,2012款,2.4L
哈弗H9 2017款 2.0T 汽油四驱尊贵型 7座,22.60万,29.61万,2020年,100公里,2017款,2.0T
别克 凯越 2013款 1.5L 手动尊享型,3.98万,11.50万,2014年,4.6万公里,2013款,1.5L
现代 途胜 2015款 1.6T 双离合两驱智能型,11.60万,19.53万,2017年,4.7万公里,2015款,1.6T
起亚 焕驰 2017款 1.4L 手动时尚版Smart,4.58万,5.42万,2019年,2.1万公里,2017款,1.4L
别克 昂科威 2016款 20T 两驱精英型,11.80万,25.61万,2016年,8.3万公里,2016款,1.5T
宝马X3 2014款 xDrive28i X设计套装(进口),24.28万,64.37万,2015年,10.4万公里,2014款,2.0T
本田 思域 2013款 十周年纪念 1.8L 自动舒适版,6.80万,15.17万,2013年,7.8万公里,2013款,1.8L
雪佛兰 科鲁兹 2018款 320 自动先锋天窗版,6.91万,13.56万,2018年,6.7万公里,2018款,1.5L
新宝骏RS-5 2019款 1.5T CVT智能驾控豪华版 国V,8.80万,12.35万,2019年,3.4万公里,2019款,1.5T
丰田 卡罗拉 2017款 改款双擎 1.8L E-CVT精英版,10.38万,15.93万,2017年,5.3万公里,2017款,1.8L
大众 宝来 2011款 1.6L 自动时尚型,3.80万,13.00万,2011年,10.4万公里,2011款,1.6L
丰田 威驰 2014款 1.5L 自动智臻版,5.30万,9.53万,2016年,7.2万公里,2014款,1.5L
丰田 雷凌 2017款 改款 185T CVT精英版 国V,9.58万,13.55万,2018年,6.1万公里,2017款,1.2T
大众 速腾 2018款 1.6L 自动舒适型,10.58万,16.04万,2019年,2.0万公里,2018款,1.6L
宝马5系 2014款 520Li 典雅型,24.38万,47.28万,2016年,16.6万公里,2014款,2.0T
哈弗H6 2015款 升级版 1.5T 手动两驱精英型,4.90万,11.92万,2015年,8.4万公里,2015款,1.5T
大众 凌渡 2015款 230TSI DSG风尚版,9.18万,17.36万,2015年,4.5万公里,2015款,1.4T
路虎 揽胜极光 2018款 240PS HSE DYNAMIC 致动版,24.80万,58.59万,2018年,3.6万公里,2018款,2.0T
雪佛兰 科鲁兹 2013款 1.8L SE AT,4.80万,14.86万,2014年,8.8万公里,2013款,1.8L
福特 福克斯 2012款 三厢 1.6L 自动风尚型,4.98万,15.62万,2013年,9.3万公里,2012款,1.6L
奔驰C级 2015款 改款 C 180 L 运动型,19.85万,35.36万,2016年,6.6万公里,2015款,1.6T
长安CS75 2016款 1.8T 自动精英型 国V,6.50万,12.68万,2016年,11.6万公里,2016款,1.8T
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,6.38万,16.27万,2015年,8.5万公里,2015款,1.4T
吉利 博瑞GE新能源 2018款 1.5T PHEV 耀领版,11.96万,22.77万,2019年,2.6万公里,2018款,1.5T
本田 雅阁 2016款 混动 2.0L 锐酷版,17.80万,26.03万,2018年,5.7万公里,2016款,2.0L
起亚K5 2016款 1.6T 自动LUX,10.18万,19.63万,2016年,4.7万公里,2016款,1.6T
本田 锋范 2015款 1.5L CVT舒适版,6.30万,9.75万,2016年,7.4万公里,2015款,1.5L
大众POLO 2014款 1.4L 手动风尚版,4.20万,8.24万,2015年,3.8万公里,2014款,1.4L
奔驰GLA级 2016款 GLA 200 动感型,17.20万,29.29万,2016年,2.4万公里,2016款,1.6T
奔驰C级 2015款 C 200 旅行轿车(进口),23.00万,45.48万,2016年,14.8万公里,2015款,2.0T
大众POLO 2016款 1.4L 手动风尚型,5.46万,8.24万,2016年,2.2万公里,2016款,1.4L
奥迪A4L 2013款 30 TFSI 自动舒适型,12.50万,31.59万,2012年,10.9万公里,2013款,1.8T
本田 雅阁 2014款 2.4L LX 舒适版,12.53万,23.86万,2014年,10.4万公里,2014款,2.4L
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,5.90万,12.48万,2013年,4.7万公里,2012款,1.0L
哈弗H5 2018款 经典版 2.0T 手动四驱进取型,7.60万,11.70万,2017年,6.2万公里,2018款,2.0T
奔驰C级 2015款 改款 C 200 L 运动型,22.30万,38.40万,2016年,7.5万公里,2015款,2.0T
本田 缤智 2017款 1.5L CVT两驱舒适型,11.20万,14.85万,2019年,1.9万公里,2017款,1.5L
本田 飞度 2016款 1.5L LX CVT舒适型,7.20万,8.88万,2017年,4.6万公里,2016款,1.5L
大众 速腾 2018款 1.6L 自动舒适型,10.70万,16.04万,2019年,3.6万公里,2018款,1.6L
现代 领动 2018款 1.6L 自动15周年特别版,8.15万,13.00万,2018年,4.8万公里,2018款,1.6L
别克 凯越 2011款 1.6LX-MT,2.95万,10.84万,2011年,13.0万公里,2011款,1.6L
雪佛兰 科鲁兹 2016款 1.4T DCG豪华版,6.88万,16.27万,2016年,4.5万公里,2016款,1.4T
大众 帕萨特 2014款 2.0TSI DSG御尊版,13.20万,27.66万,2015年,12.8万公里,2014款,2.0T
起亚 智跑 2012款 2.0L 自动两驱版GLS,7.18万,20.93万,2013年,8.5万公里,2012款,2.0L
本田UR-V 2017款 370TURBO 四驱尊享版 国V,25.80万,31.78万,2019年,4.3万公里,2017款,2.0T
大众 捷达 2015款 质惠版 1.6L 自动时尚型,6.08万,10.38万,2017年,5.6万公里,2015款,1.6L
别克 君越 2016款 20T 精英型,13.80万,26.03万,2017年,8.3万公里,2016款,1.5T
日产 轩逸 2019款 经典 1.6XE+ CVT智联领先版,8.56万,12.62万,2019年,2.0万公里,2019款,1.6L
大众 朗行 2015款 1.6L 自动风尚版,6.86万,13.56万,2017年,8.1万公里,2015款,1.6L
宝骏510 2017款 1.5L 自动时尚型,5.10万,7.47万,2017年,4.4万公里,2017款,1.5L
本田XR-V 2017款 1.8L EXi CVT舒适版,12.38万,16.26万,2018年,2.3万公里,2017款,1.8L
大众 凌渡 2017款 230TSI DSG风尚版,9.99万,17.36万,2016年,8.1万公里,2017款,1.4T
大众 捷达 2015款 质惠版 1.6L 自动舒适型,5.79万,11.46万,2016年,5.1万公里,2015款,1.6L
别克 昂科威 2016款 20T 两驱精英型,11.98万,25.61万,2016年,7.8万公里,2016款,1.5T
丰田 威驰 2011款 1.6L GL-i 天窗版 AT,3.50万,11.71万,2011年,7.3万公里,2011款,1.6L
宝马7系 2009款 730Li领先型(进口),23.58万,100.73万,2011年,9.7万公里,2009款,3.0L
本田 奥德赛 2015款 改款 2.4L 豪华版,19.50万,27.12万,2016年,7.4万公里,2015款,2.4L
现代 瑞纳 2016款 1.4L 自动智能型GLS,5.28万,9.43万,2017年,5.2万公里,2016款,1.4L
别克 昂科拉 2013款 1.4T 自动两驱精英型,5.88万,17.36万,2013年,10.5万公里,2013款,1.4T
现代 瑞纳 2014款 1.4L 自动领先型GLX,5.18万,10.08万,2015年,4.0万公里,2014款,1.4L
比亚迪F3 2013款 节能版 1.5L 手动舒适型,2.88万,4.98万,2017年,3.1万公里,2013款,1.5L
奔驰A级 2015款 A 180(进口),13.80万,27.35万,2016年,3.6万公里,2015款,1.6T
哈弗H2 2014款 1.5T 手动两驱尊贵版,4.46万,12.24万,2015年,6.9万公里,2014款,1.5T
哈弗H3 2009款 锐意版 2.0L 豪华型,1.88万,9.75万,2010年,8.8万公里,2009款,2.0L
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,6.63万,14.97万,2015年,8.6万公里,2013款,1.6L
别克 昂科威 2014款 28T 四驱豪华型,12.48万,32.55万,2015年,12.2万公里,2014款,2.0T
宝马1系 2013款 改款 116i 都市型(进口),13.60万,30.61万,2015年,5.4万公里,2013款,1.6T
Smart smart fortwo 2012款 1.0 MHD 硬顶激情版,5.60万,14.98万,2013年,4.2万公里,2012款,1.0L
福特 福睿斯 2015款 1.5L 手动舒适型,5.50万,10.51万,2018年,7.0万公里,2015款,1.5L
哈弗H2 2015款 1.5T 自动两驱精英版,5.68万,12.68万,2015年,8.6万公里,2015款,1.5T
奔驰GLA级 2020款 GLA 200,28.80万,32.98万,2020年,0.3万公里,2020款,1.3T
宝马X1 2019款 xDrive20Li 尊享型,23.30万,36.88万,2018年,4.1万公里,2019款,2.0T
哈弗H6 2016款 升级版 1.5T 自动两驱精英型,6.68万,12.35万,2017年,6.6万公里,2016款,1.5T
雪佛兰 科鲁兹 2016款 1.4T DCG豪华版,7.28万,16.27万,2016年,5.7万公里,2016款,1.4T
吉利 帝豪 2018款 1.5L 手动向上互联版,5.20万,8.77万,2018年,2.4万公里,2018款,1.5L
大众 途锐 2011款 3.0TSI 高配型(进口),23.50万,89.55万,2012年,16.0万公里,2011款,3.0T
大众 宝来 2012款 1.6L 自动舒适超值版,4.98万,13.73万,2012年,6.8万公里,2012款,1.6L
本田 雅阁 2018款 260TURBO 豪华版 国VI,18.88万,21.69万,2020年,2.1万公里,2018款,1.5T
奥迪Q5 2013款 40 TFSI 技术型,20.60万,46.41万,2015年,8.3万公里,2013款,2.0T
现代 雅绅特 2008款 1.4手动舒适型,1.58万,7.79万,2010年,6.3万公里,2008款,1.4L
东南 V5菱致 2015款 1.5L 手动经典版,2.96万,7.70万,2016年,2.6万公里,2015款,1.5L
大众 途锐 2015款 3.0TSI 标配型(进口),38.80万,78.15万,2016年,12.7万公里,2015款,3.0T
长安CX20 2016款 AMT 标准型,3.50万,,2017年,3.3万公里,2016款,1.4L
起亚K2 2015款 三厢 1.4L AT GLS,5.20万,9.32万,2016年,10.5万公里,2015款,1.4L
大众POLO 2016款 1.6L 自动舒适型,6.80万,11.28万,2016年,3.5万公里,2016款,1.6L
大众 速腾 2017款 280TSI 自动R-Line,11.50万,18.54万,2017年,5.4万公里,2017款,1.4T
别克 凯越 2013款 1.5L 自动尊享型,4.68万,12.58万,2014年,1.7万公里,2013款,1.5L
起亚 智跑 2012款 2.0L 自动两驱版GLS,7.28万,20.93万,2013年,7.0万公里,2012款,2.0L
起亚K5 2014款 2.0L 自动LUXURY,7.67万,20.49万,2014年,8.9万公里,2014款,2.0L
奥迪A5 2014款 Coupe 45 TFSI(进口),21.58万,56.99万,2015年,4.4万公里,2014款,2.0T
哈弗H2s 2017款 蓝标 1.5T 双离合精英型,6.28万,10.62万,2017年,4.0万公里,2017款,1.5T
奔驰B级 2019款 B 200 动感型(进口),19.30万,25.92万,2019年,0.9万公里,2019款,1.6T
本田 飞度 2020款 1.5L CVT舒适版,7.88万,8.88万,2020年,0.4万公里,2020款,1.5L
日产 逍客 2017款 2.0L CVT豪华版 国V,12.70万,18.32万,2018年,3.3万公里,2017款,2.0L
雪佛兰 赛欧 2013款 三厢 1.2L AMT理想版,2.99万,7.25万,2014年,7.4万公里,2013款,1.2L
奥迪A3 2014款 Sportback 35 TFSI 自动舒适型,12.38万,27.01万,2016年,7.9万公里,2014款,1.4T
别克GL8 2014款 2.4L 经典版,8.70万,22.69万,2015年,11.2万公里,2014款,2.4L
宝马3系 2014款 320i 时尚型,16.68万,37.23万,2014年,8.7万公里,2014款,2.0T
本田XR-V 2015款 1.8L EXi  CVT舒适版,9.00万,16.26万,2015年,4.9万公里,2015款,1.8L
奔驰GLA级 2016款 GLA 200 动感型,17.68万,29.29万,2017年,5.1万公里,2016款,1.6T
别克 威朗 2017款 三厢 15S 自动进取型,7.90万,15.95万,2016年,3.6万公里,2017款,1.5L
本田 雅阁 2016款 2.0L 舒适版,13.50万,19.52万,2016年,2.9万公里,2016款,2.0L
别克 昂科威 2016款 20T 两驱精英型,12.50万,25.61万,2016年,4.2万公里,2016款,1.5T
荣威i5 2019款 1.5L 手动4G互联朗越版,5.08万,8.24万,2018年,1.9万公里,2019款,1.5L
路虎 发现运动版 2020款 249PS R-Dynamic SE 性能科技版 7座,30.99万,45.89万,2020年,100公里,2020款,2.0T
起亚KX CROSS 2017款 1.4L AT GLS,6.38万,9.32万,2018年,6.5万公里,2017款,1.4L
别克 凯越 2015款 1.5L 自动经典型,4.10万,9.98万,2015年,6.1万公里,2015款,1.5L
大众 捷达 2015款 质惠版 1.6L 手动时尚型,4.98万,9.29万,2016年,6.9万公里,2015款,1.6L
本田XR-V 2015款 1.8L VTi CVT豪华版,10.88万,17.67万,2016年,3.7万公里,2015款,1.8L
起亚KX CROSS 2017款 1.4L AT GLS,7.00万,9.32万,2018年,3.3万公里,2017款,1.4L
现代 朗动 2015款 1.6L 自动尊贵型,6.50万,14.63万,2015年,7.0万公里,2015款,1.6L
本田 飞度 2016款 1.5L LXS CVT舒适天窗版,7.30万,9.31万,2017年,6.6万公里,2016款,1.5L
大众 桑塔纳 2016款 1.6L 自动风尚版,5.98万,10.84万,2017年,8.0万公里,2016款,1.6L
雪佛兰 乐风 2009款 1.4 SL MT,1.55万,8.13万,2009年,10.1万公里,2009款,1.4L
别克 英朗 2021款 典范 1.5L 自动精英型,7.98万,13.67万,2020年,0.1万公里,2021款,1.5L
捷豹XJ 2016款 XJL 2.0T 两驱典雅商务版,41.80万,86.62万,2018年,4.6万公里,2016款,2.0T
本田 雅阁 2016款 2.4L 舒适版,15.58万,22.99万,2016年,6.4万公里,2016款,2.4L
起亚K3 2016款 1.6L 自动GLS,7.18万,12.90万,2016年,7.2万公里,2016款,1.6L
铃木 利亚纳 2013款 两厢 1.4L 手动标准型2,2.10万,6.17万,2013年,6.9万公里,2013款,1.4L
沃尔沃V40 2013款 2.0T 智雅版(进口),9.80万,30.38万,2013年,5.8万公里,2013款,2.0T
标致307 2010款 三厢 1.6L 自动舒适版,3.60万,11.48万,2011年,7.6万公里,2010款,1.6L
奔驰E级 2010款 E 200 CGI 优雅型(进口),11.98万,52.97万,2010年,10.1万公里,2010款,1.8T
本田CR-V 2021款 240TURBO CVT两驱黑爵士版,20.59万,22.99万,2020年,300公里,2021款,1.5T
荣威W5 2011款 1.8T 4WD 自动豪域版,5.80万,23.75万,2012年,5.9万公里,2011款,1.8T
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL,8.10万,12.79万,2017年,5.9万公里,2017款,1.2T
奔驰C级 2015款 改款 C 200 L 运动型,22.60万,38.40万,2016年,8.0万公里,2015款,2.0T
吉利 帝豪 2016款 三厢 1.3T CVT向上版,4.98万,10.62万,2016年,7.3万公里,2016款,1.3T
本田 飞度 2018款 1.5L CVT潮跑+版,8.28万,10.18万,2018年,4.3万公里,2018款,1.5L
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,6.50万,9.31万,2017年,2.9万公里,2016款,1.5L
起亚 焕驰 2017款 1.4L 自动智享版Value,5.50万,7.15万,2019年,1.1万公里,2017款,1.4L
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,6.88万,13.56万,2017年,4.2万公里,2013款,1.6L
奔驰B级 2013款 B 260(进口),15.50万,39.95万,2014年,5.7万公里,2013款,2.0T
现代 途胜 2015款 1.6T 双离合两驱智能型,9.80万,19.53万,2017年,4.6万公里,2015款,1.6T
江淮 瑞风S3 2016款 1.5L 手动豪华智能型,3.50万,8.12万,2016年,4.6万公里,2016款,1.5L
奥迪Q3 2018款 30周年年型 30 TFSI 时尚型,18.30万,28.83万,2018年,3.7万公里,2018款,1.4T
日产 轩逸 2016款 1.6XL  CVT尊享版,8.90万,14.96万,2018年,3.6万公里,2016款,1.6L
奔驰B级 2020款 B 200 动感型,19.80万,28.20万,2019年,1.4万公里,2020款,1.3T
雪佛兰 乐风 2010款 1.4AT风尚版,2.18万,9.76万,2011年,6.9万公里,2010款,1.4L
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,7.28万,13.56万,2017年,4.3万公里,2013款,1.6L
宝马X3 2016款 sDrive20i(进口),26.80万,45.70万,2016年,6.5万公里,2016款,2.0T
日产 轩逸 2018款 经典 1.6XE+ CVT领先版,7.36万,12.24万,2018年,4.8万公里,2018款,1.6L
雪佛兰 创酷 2014款 1.4T 自动四驱旗舰型,5.20万,16.27万,2014年,9.1万公里,2014款,1.4T
大众 速腾 2015款 1.6L 自动舒适型,8.98万,16.37万,2016年,4.0万公里,2015款,1.6L
别克 凯越 2018款 15N CVT精英型,5.28万,10.19万,2018年,8.2万公里,2018款,1.3L
雪佛兰 迈锐宝 2014款 1.6T 自动舒适版,6.99万,19.74万,2015年,7.6万公里,2014款,1.6T
斯柯达 明锐 2015款 1.6L 自动逸俊版,7.50万,16.49万,2015年,7.2万公里,2015款,1.6L
奔驰GLK级 2014款 GLK 200 标准型,22.00万,41.03万,2015年,18.3万公里,2014款,2.0T
宝马3系 2019款 320Li 时尚型,25.78万,34.39万,2019年,3.1万公里,2019款,2.0T
奥迪A5 2010款 3.2 coupe quattro(进口),14.00万,72.73万,2011年,6.0万公里,2010款,3.2L
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,6.85万,14.85万,2016年,5.2万公里,2015款,1.5T
大众 桑塔纳 2015款 1.4L 手动风尚版,3.80万,9.22万,2015年,4.8万公里,2015款,1.4L
本田CR-V 2013款 2.4L 四驱豪华版,14.10万,26.03万,2017年,16.8万公里,2013款,2.4L
奔驰GLK级 2013款 GLK 300 4MATIC 动感型,16.90万,45.37万,2013年,9.1万公里,2013款,3.0L
大众POLO 2011款 1.6L 自动致酷版,4.80万,13.45万,2011年,4.8万公里,2011款,1.6L
陆风X7 2015款 2.0T 全景尊贵版,7.48万,15.17万,2017年,6.6万公里,2015款,2.0T
江淮 瑞风S3 2014款 1.5L CVT豪华智能型,3.80万,9.20万,2015年,3.3万公里,2014款,1.5L
福特 福克斯 2012款 三厢 1.6L 自动舒适型,4.80万,14.21万,2013年,6.5万公里,2012款,1.6L
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,6.18万,14.97万,2014年,3.4万公里,2013款,1.6L
捷豹XF 2015款 XF 2.0T 豪华版,18.88万,66.21万,2015年,4.6万公里,2015款,2.0T
福特 福睿斯 2015款 1.5L 自动时尚型,6.30万,13.00万,2016年,4.2万公里,2015款,1.5L
别克GL8 2014款 2.4L 行政版,9.88万,26.92万,2015年,12.8万公里,2014款,2.4L
大众POLO 2016款 1.4L 自动风尚型,5.88万,9.54万,2016年,4.4万公里,2016款,1.4L
大众POLO 2018款 1.5L 自动安驾型,8.30万,9.76万,2019年,3.0万公里,2018款,1.5L
奥迪A6L 2014款 TFSI 标准型,20.68万,44.48万,2014年,15.6万公里,2014款,2.0T
日产 天籁 2013款 2.0L XL舒适版,10.80万,20.17万,2015年,9.1万公里,2013款,2.0L
别克 凯越 2018款 15N CVT精英型,6.38万,10.19万,2019年,2.4万公里,2018款,1.3L
福特 翼搏 2013款 1.5L 自动尊贵型,5.88万,13.87万,2015年,8.6万公里,2013款,1.5L
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,5.98万,11.05万,2017年,3.4万公里,2016款,1.5T
现代 悦动 2008款 1.6L AT GL,2.68万,11.81万,2009年,11.0万公里,2008款,1.6L
奔驰E级 2014款 E 260 轿跑版(进口),29.00万,65.02万,2016年,8.0万公里,2014款,2.0T
大众 朗逸 2013款 1.6L 自动舒适版,5.50万,14.97万,2013年,8.2万公里,2013款,1.6L
大众 高尔夫 2012款 1.4TSI 自动舒适型,6.98万,15.72万,2013年,8.3万公里,2012款,1.4T
奔腾B50 2013款 1.6L 手动豪华型,4.49万,10.51万,2016年,3.7万公里,2013款,1.6L
福特 福睿斯 2015款 1.5L 手动舒适型,5.30万,10.51万,2016年,4.6万公里,2015款,1.5L
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.08万,10.38万,2016年,6.7万公里,2015款,1.6L
奔驰E级 2018款 改款 E 200 L,39.60万,47.30万,2019年,4.2万公里,2018款,2.0T
宝马X6 2011款 xDrive35i(进口),25.60万,114.52万,2012年,11.7万公里,2011款,3.0T
起亚K3 2016款 1.6L 自动GLS,7.50万,12.90万,2017年,4.4万公里,2016款,1.6L
奔驰S级 2017款 S 320 L 商务型(进口),69.80万,101.82万,2017年,3.2万公里,2017款,3.0T
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL,8.88万,12.79万,2017年,2.8万公里,2017款,1.2T
福特 福克斯 2017款 两厢 1.6L 自动舒适型智行版,7.20万,13.76万,2017年,2.4万公里,2017款,1.6L
现代 名图 2016款 1.6T 自动智能型GLS,8.80万,17.35万,2016年,6.2万公里,2016款,1.6T
传祺GS3 2019款 235T 自动精英版,7.38万,10.18万,2019年,0.6万公里,2019款,1.5T
日产 轩逸 2019款 1.6XV CVT智联尊享版 国VI,10.09万,15.23万,2019年,0.8万公里,2019款,1.6L
别克 昂科拉 2013款 1.4T 自动两驱精英型,5.68万,17.36万,2013年,9.3万公里,2013款,1.4T
别克 昂科拉 2017款 18T 自动两驱都市领先型,7.68万,16.27万,2017年,3.7万公里,2017款,1.4T
日产 天籁 2013款 2.0L XL舒适版,9.20万,20.17万,2014年,13.0万公里,2013款,2.0L
中华V3 2015款 1.5L 自动智能型,4.80万,9.63万,2016年,4.7万公里,2015款,1.5L
大众 2016款 途安L 280TSI 自动舒雅版,12.28万,21.69万,2017年,4.6万公里,2016款,1.4T
日产 轩逸 2012款 经典 1.6XE 手动舒适版,4.50万,10.83万,2014年,11.8万公里,2012款,1.6L
奔驰C级 2011款 C 200 CGI 时尚型,10.80万,42.12万,2012年,16.3万公里,2011款,1.8T
英菲尼迪G系列 2010款 G25 Sedan 豪华运动版(进口),12.38万,43.20万,2011年,7.9万公里,2010款,2.5L
起亚K2 2012款 三厢 1.4L AT GLS纪念版,3.60万,9.32万,2012年,10.5万公里,2012款,1.4L
福特 蒙迪欧 2017款 EcoBoost 180 时尚型,12.80万,20.93万,2017年,6.3万公里,2017款,1.5T
宝马X1 2015款 sDrive18i 领先晋级版,14.30万,34.63万,2015年,5.6万公里,2015款,2.0T
大众 宝来 2012款 1.6L 手动时尚型,3.80万,11.70万,2012年,10.7万公里,2012款,1.6L
福特 福睿斯 2019款 改款 1.5L 自动悦享型 国VI,8.38万,11.27万,2019年,0.9万公里,2019款,1.5L
比亚迪S6 2013款 劲悦版 2.0L 手动豪华型 5座,2.88万,8.67万,2013年,11.9万公里,2013款,2.0L
